,Knn_gradient,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb,Knn_light,Knn_catboost
50,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
51,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
52,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
53,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
54,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
55,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
56,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
57,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
58,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
59,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
60,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
61,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
62,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
63,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
64,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
65,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
