,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa
134,0.843560196,0.864772529,0.881437978,0.961652671,0.798769148,0.88370607,0.882606067,0.995088033,0.781387344,0.81585032,0.840016404,0.945782396,0.722316544,0.84289155,0.841532653,0.993052139
135,0.843560196,0.864940225,0.881437978,0.965693804,0.798769148,0.883737442,0.88257468,0.995120084,0.781387344,0.816061838,0.840016404,0.951541834,0.722316544,0.842936398,0.841487788,0.993097384
136,0.841925974,0.864940225,0.881437978,0.963436053,0.798769148,0.883737442,0.88257468,0.995247057,0.778885995,0.816061838,0.840016404,0.948306592,0.722316544,0.842936398,0.841487788,0.993277344
137,0.842477413,0.864940225,0.881437978,0.963747401,0.798769148,0.883737442,0.882861104,0.995183567,0.779602454,0.816061838,0.840016404,0.949112372,0.722316544,0.842936398,0.841852022,0.993187361
138,0.842477413,0.864940225,0.881437978,0.958279179,0.798769148,0.883626811,0.883245125,0.995151515,0.779602454,0.816061838,0.840016404,0.941443053,0.722316544,0.842789411,0.842310959,0.993142116
139,0.842477413,0.882313191,0.881437978,0.96457889,0.798769148,0.883626811,0.883554103,0.995151515,0.779602454,0.841142311,0.840016404,0.950172495,0.722316544,0.842789411,0.842713433,0.993142116
140,0.842477413,0.882313191,0.875116362,0.959638633,0.798769148,0.883737442,0.883514454,0.995151515,0.779602454,0.841142311,0.831926187,0.943354203,0.722316544,0.842936398,0.84266235,0.993142116
141,0.842477413,0.865631991,0.875116362,0.966857664,0.798769148,0.883737442,0.883514454,0.995119773,0.779602454,0.817236164,0.831926187,0.953521521,0.722316544,0.842936398,0.84266235,0.993097127
142,0.842477413,0.865631991,0.875116362,0.970242577,0.798769148,0.883626811,0.883284791,0.995151515,0.779602454,0.817236164,0.831926187,0.958365512,0.722316544,0.842789411,0.842362054,0.993142116
143,0.842477413,0.864900662,0.875116362,0.978296186,0.798769148,0.883689555,0.883554103,0.995183567,0.779602454,0.816010765,0.831926187,0.969536941,0.722316544,0.84287911,0.842713433,0.993187361
144,0.842477413,0.864900662,0.875116362,0.971351952,0.798769148,0.883737442,0.883307875,0.995184488,0.779602454,0.816010765,0.831926187,0.959900493,0.722316544,0.842936398,0.842400666,0.993188122
145,0.848276978,0.864693372,0.875116362,0.971462195,0.798769148,0.88370607,0.883530999,0.995216532,0.78667565,0.815748153,0.831926187,0.960047633,0.722316544,0.84289155,0.842674809,0.993233359
