,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1
19,0.300544455,0.07839152,0.293967573,0.272841528,0.300544455,0.557705049,0.60553155,0.60553155,0.301158301,0.07860262,0.294573643,0.2734375,0.301158301,0.558441558,0.60625,0.60625
20,0.300544455,0.061505339,0.293967573,0.252396098,0.300544455,0.554084194,0.517515704,0.609876494,0.301158301,0.061674009,0.294573643,0.252964427,0.301158301,0.55483871,0.518272425,0.6105919
21,0.300544455,0.267144796,0.549835854,0.231462497,0.300544455,0.554084194,0.608493579,0.569773445,0.301158301,0.267716535,0.550632911,0.232,0.301158301,0.55483871,0.609230769,0.570512821
22,0.300544455,0,0.455990411,0.224373113,0.300544455,0.557705049,0.62275104,0.569773445,0.301158301,0,0.456747405,0.224899598,0.301158301,0.558441558,0.62345679,0.570512821
23,0.300544455,0,0.400695056,0.224373113,0.300544455,0.554084194,0.596760013,0.569773445,0.301158301,0,0.401433692,0.224899598,0.301158301,0.55483871,0.597484277,0.570512821
24,0.300544455,0,0.557705049,0.224373113,0.300544455,0.555888787,0.601159474,0.609876494,0.301158301,0,0.558441558,0.224899598,0.301158301,0.556634304,0.601880878,0.6105919
25,0.300544455,0,0.552291159,0.217226853,0.300544455,0.557705049,0.589303885,0.609876494,0.301158301,0,0.553054662,0.217741935,0.301158301,0.558441558,0.590062112,0.6105919
26,0.300544455,0,0.414724258,0.23849568,0.300544455,0.594218235,0.596760013,0.609876494,0.301158301,0,0.415492958,0.239043825,0.301158301,0.594936709,0.597484277,0.6105919
27,0.300544455,0,0.560546742,0.231462497,0.300544455,0.594218235,0.615115048,0.609876494,0.301158301,0,0.561290323,0.232,0.301158301,0.594936709,0.615853659,0.6105919
28,0.300544455,0,0.435878803,0.23849568,0.300544455,0.594218235,0.615115048,0.609876494,0.301158301,0,0.436619718,0.239043825,0.301158301,0.594936709,0.615853659,0.6105919
