,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
582,0.162837231,0.167101828,0.06430891,0.069318182,0.478830741,0.479591837,0.626548868,0.627272727
583,0.162837231,0.167101828,0.062893052,0.067911715,0.478830741,0.479591837,0.632765868,0.633484163
584,0.162837231,0.167101828,0.06391258,0.068926554,0.478830741,0.479591837,0.629425307,0.630136986
585,0.162837231,0.167101828,0.062737806,0.067758329,0.531264368,0.532019704,0.629425307,0.630136986
586,0.162837231,0.167101828,0.062815341,0.067834935,0.478830741,0.479591837,0.629425307,0.630136986
587,0.162837231,0.167101828,0.062815341,0.067834935,0.523995393,0.524752475,0.629425307,0.630136986
588,0.162837231,0.167101828,0.06391258,0.068926554,0.523995393,0.524752475,0.635657432,0.636363636
589,0.162837231,0.167101828,0.064031008,0.069043577,0.531264368,0.532019704,0.626548868,0.627272727
590,0.162837231,0.167101828,0.064031008,0.069043577,0.5166544,0.517412935,0.626548868,0.627272727
591,0.162837231,0.167101828,0.063049002,0.068065797,0.5166544,0.517412935,0.626548868,0.627272727
592,0.162837231,0.167101828,0.062893052,0.067911715,0.531264368,0.532019704,0.629425307,0.630136986
593,0.162837231,0.167101828,0.062893052,0.067911715,0.531264368,0.532019704,0.635657432,0.636363636
594,0.162837231,0.167101828,0.062893052,0.067911715,0.531264368,0.532019704,0.629425307,0.630136986
595,0.162837231,0.167101828,0.062854174,0.067873303,0.523995393,0.524752475,0.635657432,0.636363636
596,0.162837231,0.167101828,0.06544297,0.070438799,0.478830741,0.479591837,0.635657432,0.636363636
597,0.162837231,0.167101828,0.065566654,0.070561018,0.478830741,0.479591837,0.620275314,0.621004566
598,0.162837231,0.167101828,0.065607977,0.070601852,0.531264368,0.532019704,0.629425307,0.630136986
599,0.162837231,0.167101828,0.064031008,0.069043577,0.531264368,0.532019704,0.629425307,0.630136986
600,0.162837231,0.167101828,0.064149839,0.069160998,0.531264368,0.532019704,0.629425307,0.630136986
