,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_F1,Random_Kappa
188,0.953326388354554,0.9669222625044116,0.9430634039337538,0.9594225516972298,0.9531844548406208,0.9668185610679674,0.9636644884300912,0.988095707687254
189,0.9545752834854746,0.9677978617523356,0.9448529905199988,0.9606796432523924,0.9533707873830572,0.9669532854209444,0.9651691065118628,0.9879610417735429
190,0.9545223442760252,0.9677564390776544,0.9434983492851564,0.9597214992191566,0.9549274846774556,0.9680423960173438,0.9644298688193744,0.9880524529368155
191,0.954843640447361,0.9679863853835532,0.94248006176934,0.959011864131318,0.9548368866567066,0.967978159627429,0.9632940880186364,0.9883681576736248
192,0.9543086745880256,0.9676114659904342,0.9446174287715364,0.9605078951652286,0.953633750774971,0.9671352461647088,0.9651888755754556,0.9878264010119385
193,0.9544436744875272,0.9677067282999484,0.9441566444319256,0.96017713522842,0.954987089901195,0.9680919363122752,0.9658484187912678,0.9882317179359684
194,0.9532907178407556,0.9669018601667736,0.94263876278176,0.959112643528608,0.9529374216028732,0.9666559794806028,0.963797771201914,0.9882317179359684
195,0.9547496725584176,0.9679180448954688,0.9424323764963358,0.9589531590768532,0.9549325400482744,0.9680485533540992,0.9646279949558638,0.9882771995476686
196,0.9544009465578808,0.9676777403306048,0.9440909650128596,0.960119900951388,0.9561862747695196,0.9689069138663576,0.9639579982972284,0.9883231157051657
197,0.954488108504971,0.9677377933292672,0.9439803347142626,0.9600546928410976,0.9564089739799624,0.9690628722274088,0.9648818351055438,0.9881407496146484
198,0.9549820416875906,0.9680857895074808,0.9416436195298395,0.958407856655068,0.9556469863596208,0.9685267426144044,0.9633712324021292,0.987871882548602
199,0.9550709414773664,0.9681479578731056,0.9426660395472102,0.9591225672069258,0.9557410013865332,0.9685951476929016,0.9636094394908472,0.9879605920015901
200,0.9546573860271372,0.9678517519349972,0.9433878760602938,0.9596327885930074,0.9560988502684484,0.9688465499485068,0.9652105346159912,0.9879151053252027
201,0.95440265085739,0.9676798151298264,0.9439019104816384,0.959981750635469,0.9561004936565572,0.9688485550621098,0.962881270481472,0.9877349746665965
202,0.9533829813035688,0.9669681226348532,0.9426041717505566,0.959070040050796,0.9561895551232658,0.9689109165808444,0.9622112263229224,0.9881862346249934
203,0.952980039596298,0.9666848366306474,0.9432944292374208,0.9595650475322308,0.956405709505467,0.9690588879229852,0.9627268423544264,0.9875103157330702
204,0.9537825447492636,0.9672472973406472,0.944496829212373,0.9604066868706618,0.9561879150077952,0.96890891535243,0.9647333691156506,0.9865637777661062
205,0.9530261719606302,0.9667179684494036,0.9443057024743066,0.96026597998631,0.9561895551232658,0.9689109165808444,0.9645735233700976,0.9878259462523205
206,0.9545410406117828,0.9677792041078306,0.944860203034812,0.9606648199445984,0.956364430802656,0.9690316765387588,0.9670197247415488,0.9865213062481017
207,0.9537756361311236,0.967238889780202,0.9416925400186285,0.9584444299928464,0.95605596542359,0.9688173773129526,0.9646612979630508,0.9863424237849252
208,0.9555055577764828,0.968446757920442,0.9431692388520274,0.9594818888925049,0.9557426579842572,0.9685971685971684,0.965048666413854,0.9874221598579258
209,0.9532907178407556,0.9669018601667736,0.9423834674097508,0.9589165961325608,0.9559223907251128,0.9687238561039964,0.9637976201748572,0.9872416602106033
210,0.9533351070797152,0.9669328714840116,0.942224797455171,0.9588158750813272,0.955381562937138,0.9683418055466186,0.9634346236287984,0.9876472266952583
211,0.9533246442185518,0.966920139891552,0.9420998852098252,0.958733049331729,0.9541872836051298,0.9675097213741686,0.9644785450412048,0.9880515602564487
212,0.9537825447492636,0.9672472973406472,0.9447262794245064,0.9605709071949948,0.9543189547806246,0.9676009256878376,0.9625358414468916,0.9889174891904539
213,0.954312090084515,0.9676156240973136,0.9431053701474088,0.9594268967762944,0.9538743969617716,0.9672900199215988,0.9667775138558988,0.9880974864846107
214,0.9530758081605346,0.9667553617798864,0.9445923709626136,0.9604770128050568,0.9541787141712738,0.967499276690134,0.9670831483478152,0.9874652973565217
215,0.9547136894256848,0.9678972712680576,0.955009428047032,0.9680497791533677,0.9541821423294938,0.9675034553694836,0.9651706700379268,0.9879614915118917
216,0.9547153821943613,0.9678993323061118,0.950031417766149,0.9644761935546432,0.9547687558025754,0.967918220393468,0.96534293747828,0.9883681576736248
217,0.9545410406117828,0.9677792041078306,0.9538164714014172,0.967172859450727,0.9544523545559632,0.9676942363946124,0.9648834712309732,0.9880974864846107
