,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
89,-0.005029232,0,0,0,-0.002727373,0,0,0.17575084,-0.002727373,0,0,0.17575084,-0.002727373,0,0,0.17575084
90,-0.005029232,0,0,0,-0.002727373,0,0,0.188378062,-0.002727373,0,0,0.188378062,-0.002727373,0,0,0.188378062
91,-0.005029232,0,0,0,-0.002727373,0,0,0.200126343,-0.002727373,0,0,0.200126343,-0.002727373,0,0,0.200126343
92,-0.005029232,0,0,0,-0.002727373,0,0,0.194403127,-0.002727373,0,0,0.194403127,-0.002727373,0,0,0.194403127
93,-0.005029232,0,0,0,-0.002727373,0,0,0.194470018,-0.002727373,0,0,0.194470018,-0.002727373,0,0,0.194470018
94,-0.005029232,0,0,0,-0.002727373,0,0,0.216185052,-0.002727373,0,0,0.216185052,-0.002727373,0,0,0.216185052
95,-0.005029232,0,0,0,-0.002727373,0,0,0.243262422,-0.002727373,0,0,0.243262422,-0.002727373,0,0,0.243262422
96,-0.005029232,0,0,0,-0.002727373,0,0,0.217296335,-0.002727373,0,0,0.217296335,-0.002727373,0,0,0.217296335
97,-0.005029232,0,0,0,-0.002727373,0,0,0.194380831,-0.002727373,0,0,0.194380831,-0.002727373,0,0,0.194380831
98,-0.005029232,0,0,0,-0.002727373,0,0,0.206895258,-0.002727373,0,0,0.206895258,-0.002727373,0,0,0.206895258
99,-0.005029232,0,0,0,-0.002727373,0,0,0.196210651,-0.002727373,0,0,0.196210651,-0.002727373,0,0,0.196210651
100,-0.005029232,0,0,0,-0.002727373,0,0,0.213707434,-0.002727373,0,0,0.213707434,-0.002727373,0,0,0.213707434
101,-0.005029232,0,0,0,-0.002727373,0,0,0.710017584,-0.002727373,0,0,0.710017584,-0.002727373,0,0,0.710017584
102,-0.005029232,0,0,0,-0.002727373,0,0,0.217250771,-0.002727373,0,0,0.217250771,-0.002727373,0,0,0.217250771
103,-0.005029232,0,0,0,-0.002727373,0,0,0.192042373,-0.002727373,0,0,0.192042373,-0.002727373,0,0,0.192042373
104,-0.005029232,0,0,0,-0.002727373,0,0,0.192660171,-0.002727373,0,0,0.192660171,-0.002727373,0,0,0.192660171
105,-0.005029232,0,0,0,-0.002727373,0,0,0.194871449,-0.002727373,0,0,0.194871449,-0.002727373,0,0,0.194871449
106,-0.005029232,0,0,0,-0.002727373,0,0,0.193400277,-0.002727373,0,0,0.193400277,-0.002727373,0,0,0.193400277
107,-0.005029232,0,0,0,-0.002727373,0,0,0.195339977,-0.002727373,0,0,0.195339977,-0.002727373,0,0,0.195339977
108,-0.005029232,0,0,0,-0.002727373,0,0,0.250774583,-0.002727373,0,0,0.250774583,-0.002727373,0,0,0.250774583
109,-0.005029232,0,0,0,-0.002727373,0,0,0.193288908,-0.002727373,0,0,0.193288908,-0.002727373,0,0,0.193288908
110,-0.005029232,0,0,0,-0.002727373,0,0,0.196188318,-0.002727373,0,0,0.196188318,-0.002727373,0,0,0.196188318
111,-0.005029232,0,0,0,-0.002727373,0,0,0.194157898,-0.002727373,0,0,0.194157898,-0.002727373,0,0,0.194157898
112,-0.005029232,0,0,0,-0.002727373,0,0,0.191330726,-0.002727373,0,0,0.191330726,-0.002727373,0,0,0.191330726
113,-0.005029232,0,0,0,-0.002727373,0,0,0.201517087,-0.002727373,0,0,0.201517087,-0.002727373,0,0,0.201517087
114,-0.005029232,0,0,0,-0.002727373,0,0,0.196054324,-0.002727373,0,0,0.196054324,-0.002727373,0,0,0.196054324
115,-0.005029232,0,0,0,-0.002727373,0,0,0.193845871,-0.002727373,0,0,0.193845871,-0.002727373,0,0,0.193845871
