,datetime,latitude,longitude,pressure,salinity,temperature,label,anomaly_score
15212,2.5750546328095782,1.7622695387842506,0.8506107700655097,5.379282497947057,-0.6307930189955169,-1.6192828622838138,0,2.288726930184179
17088,1.7711525785454203,1.5505216946692977,1.2715727981417166,5.379282497947057,-0.6307930189955169,-1.633582657836879,0,2.28807074346746
14290,3.378926305976774,1.6019086443592894,2.1360143967516145,-1.0068454014855248,0.9122524395354564,0.8068074514351018,0,2.280042781196385
13815,0.8050458476028681,2.1964415559059782,1.8051393524008168,5.227006740167417,-0.6225414390033918,-1.6501574208642955,0,2.2777251277477495
4205,2.753683330505456,1.7304368803341257,0.8442906135788532,5.363075765411751,-0.6307930189955169,-1.6140829366281535,0,2.2776948208189647
6193,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.996378553389807,0.9122524395354564,0.8074574421420593,0,2.2730188022695192
1172,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.977470698765284,0.9122524395354564,0.8061574607281444,0,2.2590054829453092
7109,2.128452507472922,1.844900162248476,1.0328920790820832,5.39515159022121,-0.6225414390033918,-1.6290327228881765,0,2.247286866215892
3299,0.9800105850051676,2.352106279181765,0.7780307879470936,4.958245092290271,-0.6307930189955169,-1.6235078018790374,0,2.238088070578773
13526,2.307050824071838,2.061760393350243,0.8647288376297021,5.361725204367143,-0.6307930189955169,-1.6192828622838138,0,2.22467198762745
12915,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.9204094946305637,0.8709945395747136,0.7934826419424728,0,2.2205728528660376
5817,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.9139943296686718,0.8709945395747136,0.7931576465889941,0,2.21601953243958
631,3.11098933565235,1.5788440044510568,1.387782970797932,5.480574576292715,-0.6225414390033918,-1.6371576067251454,0,2.21116363692083
2197,2.039144234844376,1.9295097742237224,1.39028637301257,5.497794229611476,-0.6307930189955169,-1.634882639250794,0,2.2036933221588053
18252,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.075743903171235,-0.6307930189955169,-1.6475574580364658,0,2.1998153795873057
13586,2.5750546328095782,1.7622695387842506,0.8506107700655097,5.294872432659008,-0.6307930189955169,-1.6170078948094626,0,2.199755993780624
6561,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.125039381299455,-0.6225414390033918,-1.6287077275346975,0,2.1953926020473724
16061,2.664375057876909,1.842332189061553,0.8477057025701652,5.310741524933161,-0.6307930189955169,-1.6179828808698988,0,2.192895029385249
17557,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.8765162606807784,0.8709945395747136,0.7905576837611641,0,2.1892482161440583
9855,1.949805581118868,1.8940371904765363,1.6504758008014004,5.531895895987848,-0.6307930189955169,-1.640407560259933,0,2.184157685996964
19986,3.289605880909443,1.662114657929762,2.0662516762299696,5.616305961275896,-0.6225414390033918,-1.6485324440969018,0,2.176916984857825
5208,2.753683330505456,1.7304368803341257,0.8442906135788532,5.260770766282637,-0.6307930189955169,-1.6124579598607598,0,2.1714870240760216
10655,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.8312724656863845,0.8957492795511476,0.7912076744681216,0,2.169915653341104
8602,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.8538943631835815,0.8957492795511476,0.806482456081623,0,2.1678614908800675
12200,3.289605880909443,1.662114657929762,2.0662516762299696,-0.9173707322801936,0.8874976995590225,0.8393069867829773,0,2.1564772802294416
3753,2.039144234844376,1.9295097742237224,1.39028637301257,5.446810550177495,-0.6307930189955169,-1.633582657836879,0,2.1480344016907438
16662,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.8140528123676227,0.9040008595433312,0.8077824374955381,0,2.145810019397509
10223,1.7711525785454203,1.5505216946692977,1.2715727981417166,5.244901674008483,-0.6307930189955169,-1.6303327043020914,0,2.141456782408794
10826,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.8032483240107524,0.9040008595433312,0.8087574235559745,0,2.1393184950849
13150,0.9800105850051676,2.352106279181765,0.7780307879470936,4.855940093161157,-0.6307930189955169,-1.6196078576372923,0,2.134218825401231
18318,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.7758994628574248,0.8957492795511476,0.787957720933334,0,2.1321139584476074
15467,2.2177486276626843,2.0340545541959205,0.6036706919081797,5.109507929286454,-0.6225414390033918,-1.6192828622838138,0,2.1300123188179563
9636,3.378926305976774,1.6019086443592894,2.1360143967516145,-0.7684713771120766,0.9122524395354564,0.809082418909453,0,2.1205514592667147
15338,1.2425397200704131,1.9008380002009244,0.5611726369987914,4.839058080103547,-0.6307930189955169,-1.6183078762233774,0,2.119871836080033
