,Knn_light_kappa,Knn_light_F1,Knn_gradient_kappa,Knn_gradient_F1,Knn_catboost_kappa,Knn_catboost_F1,light_gradient_kappa,light_gradient_F1,light_catboost_kappa,light_catboost_F1,gradient_catboost_kappa,gradient_catboost_F1,lg_gb_cb_kappa,lg_gb_cb_F1,Knn_gb_cb_kappa,Knn_gb_cb_F1,Knn_lg_cb_kappa,Knn_lg_cb_F1,Knn_lg_gb_kappa,Knn_lg_gb_F1,Knn_lg_gb_cb_kappa,Knn_lg_gb_cb_F1
10,0.703918746,0.705577173,0.700243585,0.701935484,0.672143378,0.674101611,0,0,0.715239664,0.716666667,0.718644198,0.720108696,0,0,0.730400232,0.731774415,0.727838291,0.729251701,0.71445359,0.715877437,0.724596152,0.726045884
11,0.670460336,0.672435105,0.700243585,0.701935484,0.699330666,0.701030928,0,0,0.716021422,0.717451524,0.726625236,0.728021978,0,0,0.729386597,0.730769231,0.725359508,0.726775956,0.71445359,0.715877437,0.727572825,0.72899729
12,0.697511809,0.699228792,0.700243585,0.701935484,0.701158844,0.702842377,0,0,0.716021422,0.717451524,0.726890444,0.728275862,0,0,0.728647734,0.730027548,0.728105913,0.729508197,0.71445359,0.715877437,0.732587616,0.733969986
13,0.699330666,0.701030928,0.700243585,0.701935484,0.711383692,0.712975098,0,0,0.716021422,0.717451524,0.728647734,0.730027548,0,0,0.730400232,0.731774415,0.732302247,0.733695652,0.71445359,0.715877437,0.729844925,0.731241473
14,0.709502942,0.711111111,0.700243585,0.701935484,0.712876188,0.714471969,0,0,0.716021422,0.717451524,0.728647734,0.730027548,0,0,0.730400232,0.731774415,0.728105913,0.729508197,0.71445359,0.715877437,0.728570388,0.729986431
15,0.709502942,0.711111111,0.700243585,0.701935484,0.714760807,0.716339869,0,0,0.718031432,0.719444444,0.728647734,0.730027548,0,0,0.730400232,0.731774415,0.732302247,0.733695652,0.71445359,0.715877437,0.730852318,0.732240437
16,0.71100129,0.712613784,0.700243585,0.701935484,0.713817278,0.7154047,0,0,0.718031432,0.719444444,0.722860505,0.724279835,0,0,0.728647734,0.730027548,0.732302247,0.733695652,0.71445359,0.715877437,0.726318943,0.727762803
17,0.71100129,0.712613784,0.700243585,0.701935484,0.717606128,0.719160105,0,0,0.718031432,0.719444444,0.728647734,0.730027548,0,0,0.729386597,0.730769231,0.732302247,0.733695652,0.71445359,0.715877437,0.73157924,0.732970027
18,0.712876188,0.714471969,0.703918746,0.705577173,0.717606128,0.719160105,0,0,0.718031432,0.719444444,0.732147958,0.733516484,0,0,0.729386597,0.730769231,0.730573584,0.731972789,0.71445359,0.715877437,0.730573584,0.731972789
19,0.712876188,0.714471969,0.703918746,0.705577173,0.725303394,0.726790451,0,0,0.718031432,0.719444444,0.732147958,0.733516484,0,0,0.729386597,0.730769231,0.735033856,0.736413043,0.725878833,0.727272727,0.726362185,0.727770178
20,0.714760807,0.716339869,0.703918746,0.705577173,0.728231785,0.729693742,0,0,0.718031432,0.719444444,0.73287531,0.734246575,0,0,0.725618112,0.72702332,0.733308878,0.734693878,0.725128344,0.726519337,0.728105913,0.729508197
21,0.713817278,0.7154047,0.703918746,0.705577173,0.728231785,0.729693742,0,0,0.718031432,0.719444444,0.733890932,0.735253772,0,0,0.727635106,0.729023384,0.735033856,0.736413043,0.725128344,0.726519337,0.733308878,0.734693878
22,0.717606128,0.719160105,0.703918746,0.705577173,0.728231785,0.729693742,0,0,0.719812976,0.721220527,0.732147958,0.733516484,0,0,0.728647734,0.730027548,0.735033856,0.736413043,0.724869981,0.726272352,0.731862443,0.733242134
23,0.717606128,0.719160105,0.703918746,0.705577173,0.732172577,0.733601071,0,0,0.718031432,0.719444444,0.732147958,0.733516484,0,0,0.727635106,0.729023384,0.735330307,0.736698499,0.724869981,0.726272352,0.733598723,0.734972678
24,0.717606128,0.719160105,0.703918746,0.705577173,0.736155432,0.737550471,0,0,0.718031432,0.719444444,0.733890932,0.735253772,0,0,0.730852318,0.732240437,0.736345128,0.737704918,0.725128344,0.726519337,0.733598723,0.734972678
25,0.724332392,0.725827815,0.703918746,0.705577173,0.738162844,0.739541161,0,0,0.719812976,0.721220527,0.732147958,0.733516484,0,0,0.730852318,0.732240437,0.735330307,0.736698499,0.724869981,0.726272352,0.730121448,0.731506849
26,0.727253081,0.728723404,0.670460336,0.672435105,0.738162844,0.739541161,0,0,0.719812976,0.721220527,0.730400232,0.731774415,0,0,0.731862443,0.733242134,0.735330307,0.736698499,0.726890444,0.728275862,0.730121448,0.731506849
