,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lighgtbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
43,0.48853135,0,0,0.495168708,0.492188388,0,0,0.969229916,0.492188388,0,0,0.969229916,0.492188388,0,0,0.969229916
44,0.48853135,0,0,0.495168708,0.492188388,0,0,0.536189907,0.492188388,0,0,0.536189907,0.492188388,0,0,0.536189907
45,0.48853135,0,0,0.495168708,0.492188388,0,0,0.533489868,0.492188388,0,0,0.533489868,0.492188388,0,0,0.533489868
46,0.48853135,0,0,0.495168708,0.492188388,0,0,0.548791967,0.492188388,0,0,0.548791967,0.492188388,0,0,0.548791967
47,0.48853135,0,0,0.495168708,0.492188388,0,0,0.519486678,0.492188388,0,0,0.519486678,0.492188388,0,0,0.519486678
48,0.48853135,0,0,0.495168708,0.492188388,0,0,0.518810123,0.492188388,0,0,0.518810123,0.492188388,0,0,0.518810123
49,0.48853135,0,0,0.495168708,0.492188388,0,0,0.517896976,0.492188388,0,0,0.517896976,0.492188388,0,0,0.517896976
50,0.48853135,0,0,0.495168708,0.492188388,0,0,0.518004108,0.492188388,0,0,0.518004108,0.492188388,0,0,0.518004108
51,0.48853135,0,0,0.495168708,0.492188388,0,0,0.520702672,0.492188388,0,0,0.520702672,0.492188388,0,0,0.520702672
52,0.48853135,0,0,0.495168708,0.492188388,0,0,0.51721696,0.492188388,0,0,0.51721696,0.492188388,0,0,0.51721696
53,0.48853135,0,0,0.495168708,0.492188388,0,0,0.518701545,0.492188388,0,0,0.518701545,0.492188388,0,0,0.518701545
54,0.48853135,0,0,0.495168708,0.492188388,0,0,0.532477801,0.492188388,0,0,0.532477801,0.492188388,0,0,0.532477801
55,0.48853135,0,0,0.495168708,0.492188388,0,0,0.536462005,0.492188388,0,0,0.536462005,0.492188388,0,0,0.536462005
56,0.48853135,0,0,0.495168708,0.492188388,0,0,0.524218995,0.492188388,0,0,0.524218995,0.492188388,0,0,0.524218995
