,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
16,0,0,0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
17,0,0,0,0.300578035,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
18,0,0,0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
19,0,0,0,0.70995671,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
20,0,0,0,0.70995671,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
21,0,0,0,0.70995671,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894
22,0,0,0,0.70995671,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894
23,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
24,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
25,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
26,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
27,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
28,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
29,0,0,0,0.704347826,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
30,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
31,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
32,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
33,0,0,0,0.704347826,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
34,0,0,0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
35,0,0,0,0.68722467,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
36,0,0,0,0.698689956,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894
