,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
27,0.818917739,0.818917739,0.857200027,0,0.969217519,0.969217519,0.972325379,0.879173722,0.879173722,0.818917739,0.985273068
28,0.82075851,0.82075851,0.859026437,0,0.96785487,0.96785487,0.971614735,0.879203495,0.879203495,0.82075851,0.98488217
29,0.832880164,0.832880164,0.862661799,0,0.967554819,0.967554819,0.971969843,0.879173722,0.879173722,0.832880164,0.987962522
30,0.839611498,0.839611498,0.868283373,0,0.967380937,0.967380937,0.972221328,0.877024309,0.877024309,0.839611498,0.989479038
31,0.823299603,0.823299603,0.872103227,0,0.968201475,0.968201475,0.973223183,0.881945858,0.881945858,0.823299603,0.988705418
32,0.837732894,0.837732894,0.872701187,0,0.968299895,0.968299895,0.972728149,0.881288136,0.881288136,0.837732894,0.992972144
33,0.837732894,0.837732894,0.880521791,0,0.966542751,0.966542751,0.973030313,0.881955984,0.881955984,0.837732894,0.993034254
34,0.837732894,0.837732894,0.880974325,0,0.96260677,0.96260677,0.97062776,0.881716785,0.881716785,0.837732894,0.993101686
35,0.840036444,0.840036444,0.88878001,0,0.964892842,0.964892842,0.967376067,0.881862546,0.881862546,0.840036444,0.993393547
36,0.840036444,0.840036444,0.886490388,0,0.964946755,0.964946755,0.966235586,0.883376702,0.883376702,0.840036444,0.993363538
37,0.840036444,0.840036444,0.887667335,0,0.965421064,0.965421064,0.970530829,0.883736627,0.883736627,0.840036444,0.993333546
38,0.835137143,0.835137143,0.888314915,0,0.967897781,0.967897781,0.967717214,0.889803292,0.889803292,0.835137143,0.993301863
39,0.835137143,0.835137143,0.890929146,0,0.965939752,0.965939752,0.96863133,0.889357007,0.889357007,0.835137143,0.992850303
40,0.836918492,0.836918492,0.891267569,0,0.964020126,0.964020126,0.966580813,0.890135577,0.890135577,0.836918492,0.99253112
41,0.835953166,0.835953166,0.891375777,0,0.977352308,0.977352308,0.978837517,0.889927553,0.889927553,0.835953166,0.992565174
42,0.836945605,0.836945605,0.888795419,0,0.97719744,0.97719744,0.979081121,0.889941934,0.889941934,0.836945605,0.992248557
43,0.836945605,0.836945605,0.889745417,0,0.981953188,0.981953188,0.981809943,0.889200093,0.889200093,0.836945605,0.990414929
44,0.836945605,0.836945605,0.889978389,0,0.98096377,0.98096377,0.981414325,0.888459488,0.888459488,0.836945605,0.992755242
45,0.836945605,0.836945605,0.891272046,0,0.977971591,0.977971591,0.978872786,0.887699468,0.887699468,0.836945605,0.993046252
46,0.836983284,0.836983284,0.877171135,0,0.979571153,0.979571153,0.980020297,0.886550018,0.886550018,0.836983284,0.993010118
47,0.835987779,0.835987779,0.879777669,0,0.97935925,0.97935925,0.97978838,0.881832001,0.881832001,0.835987779,0.993423573
48,0.835987779,0.835987779,0.882024854,0,0.980952683,0.980952683,0.982968988,0.881704095,0.881704095,0.835987779,0.993487838
49,0.835987779,0.835987779,0.885659482,0,0.982189911,0.982189911,0.983248037,0.88528397,0.88528397,0.835987779,0.993550859
50,0.83617692,0.83617692,0.888694355,0,0.982036308,0.982036308,0.982251151,0.884257265,0.884257265,0.83617692,0.99275894
51,0.83617692,0.83617692,0.888694355,0,0.979396778,0.979396778,0.979395474,0.88127869,0.88127869,0.83617692,0.993143039
52,0.83617692,0.83617692,0.889018692,0,0.979903155,0.979903155,0.979903155,0.879159254,0.879159254,0.83617692,0.992447659
53,0.83617692,0.83617692,0.890546782,0,0.979330864,0.979330864,0.979268872,0.877000427,0.877000427,0.83617692,0.99301725
54,0.843447756,0.843447756,0.893095624,0,0.979302487,0.979302487,0.979302487,0.878500347,0.878500347,0.843447756,0.991585926
55,0.843447756,0.843447756,0.892058747,0,0.981042354,0.981042354,0.980859425,0.875692064,0.875692064,0.843447756,0.990483465
56,0.844281362,0.844281362,0.893065333,0,0.979411114,0.979411114,0.979411114,0.873159832,0.873159832,0.844281362,0.991967359
57,0.844281362,0.844281362,0.897494747,0,0.979593128,0.979593128,0.979532441,0.870379465,0.870379465,0.844281362,0.992315296
58,0.844394942,0.844394942,0.899589638,0,0.978953698,0.978953698,0.978953698,0.868814955,0.868814955,0.844394942,0.991430665
