,Knn_light,Knn_gradient,light_gradient,Knn_catboost,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
45,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
46,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
47,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
48,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
49,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
50,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
51,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
52,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
53,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
54,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
55,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
56,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
57,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
58,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
59,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
60,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
61,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
62,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
63,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
64,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
65,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
66,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
67,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
68,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
69,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
70,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
71,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
72,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
73,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
74,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7531380753138075
75,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
76,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
77,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
78,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
79,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
80,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
81,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
82,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
83,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
84,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
85,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
86,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
