,Random_Knn_kappa,Random_Knn_F1,Random_Lightgbm_kappa,Random_Lightgbm_F1,Random_XGBoost_kappa,Random_XGBoost_F1,Random_Catboost_kappa,Random_Catboost_F1,Uncertainty_Knn_kappa,Uncertainty_Knn_F1,Uncertainty_Lightgbm_kappa,Uncertainty_Lightgbm_F1,Uncertainty_XGBoost_kappa,Uncertainty_XGBoost_F1,Uncertainty_Catboost_kappa,Uncertainty_Catboost_F1
40,-0.0029203648911042546,0.0,0.0,0.0,-0.00315577718377269,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003216686205212538,0.0,0.0,0.0
41,-0.0029203648911042546,0.0,0.0,0.0,-0.0032342120048094447,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0032673833612333336,0.0,0.0,0.0
42,-0.0029203648911042546,0.0,0.0,0.0,-0.003225559940349898,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.00316816299992273,0.0,0.0,0.0
43,-0.0029203648911042546,0.0,0.0,0.0,-0.003147749541644318,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003182207571781781,0.0,0.0,0.0
44,-0.0029203648911042546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0025648321015905307,0.0,0.0,0.0
45,-0.0029203648911042546,0.0,0.0,0.0,-0.003153995060280801,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003197828954663917,0.0,0.0,0.0
46,-0.0029203648911042546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003012512799061229,0.0,0.0,0.0
47,-0.0029203648911042546,0.0,0.0,0.0,-0.003190106577735108,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0031828783685190487,0.0,0.0,0.0
48,-0.0029203648911042546,0.0,0.0,0.0,-0.003088801675261932,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0031522693340209074,0.0,-0.00017924194519425285,0.0
49,-0.0029026670549554545,0.0,0.0,0.0,-0.003227493609874399,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.002965433611258561,0.0,-0.0022601537182349585,0.0
50,-0.0029026670549554545,0.0,0.0,0.0,-0.003202694625351832,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0014463412529295283,0.0018193268490658456,-0.0026898975879032783,0.0
51,-0.0029026670549554545,0.0,0.0,0.0,-0.003213999988364691,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003205397005556998,0.0,0.0,0.0
52,-0.0029026670549554545,0.0,0.0,0.0,-0.003190915226746638,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0032246581536599095,0.0,0.0,0.0
53,-0.0029026670549554545,0.0,0.0,0.0,-0.0014035249386195048,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.002994724590478004,0.0,0.0,0.0
54,-0.0029026670549554545,0.0,0.0,0.0,-0.0032318611846724465,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.001394641308183564,0.0018699654775604143,0.0,0.0
55,-0.0029026670549554545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0026727866359286256,0.0005642544787699252,0.0,0.0
56,-0.0029026670549554545,0.0,0.0,0.0,-0.0027282482267305674,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0031792464240611995,0.0,0.0,0.0
57,-0.0029026670549554545,0.0,0.0,0.0,-0.0031422747831140185,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.0026923421625999477,0.0,0.0,0.0
58,-0.0029026670549554545,0.0,0.0,0.0,-0.0032059618680260193,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.003235816547431991,0.0,0.0,0.0
59,-0.0029026670549554545,0.0,0.0,0.0,-0.0031437904558515584,0.0,0.0,0.0,-0.002960131730374904,0.0,0.0,0.0,-0.002860170221339109,0.0,0.0,0.0
60,-0.0029026670549554545,0.0,0.0,0.0,-0.0032022484181251087,0.0,0.0,0.0,-0.0029498314427689465,0.0,0.0,0.0,-0.0031665862833418768,0.0,0.0,0.0
61,-0.0029026670549554545,0.0,0.0,0.0,-0.003233337867625252,0.0,0.0,0.0,-0.0029498314427689465,0.0,0.0,0.0,-0.0032139122765286743,0.0,0.0,0.0
62,-0.0029026670549554545,0.0,0.0,0.0,-0.003122921044588667,0.0,0.0,0.0,-0.0031025220518927643,0.0,0.0,0.0,-0.0018339598313812377,0.0,0.0,0.0
63,-0.0029026670549554545,0.0,0.0,0.0,-0.0024743593951392917,0.0,0.0,0.0,-0.0031025220518927643,0.0,0.0,0.0,-0.0029437440043227348,0.0,0.0,0.0
