,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
91,0.299963469,0.300578035,0.523995393,0.524752475,0.259792157,0.26035503,0.323315698,0.324022346
92,0.299963469,0.300578035,0.54559046,0.546341463,0.290094931,0.290697674,0.332618613,0.333333333
93,0.290094931,0.290697674,0.471034275,0.471794872,0.259792157,0.26035503,0.285046067,0.285714286
94,0.290094931,0.290697674,0.501752033,0.502512563,0.299963469,0.300578035,0.323315698,0.324022346
95,0.290094931,0.290697674,0.439035701,0.439790576,0.280111552,0.280701754,0.294775759,0.295454545
96,0.299963469,0.300578035,0.538462379,0.539215686,0.319363856,0.32,0.294775759,0.295454545
97,0.299963469,0.300578035,0.538462379,0.539215686,0.280111552,0.280701754,0.285046067,0.285714286
98,0.299963469,0.300578035,0.5166544,0.517412935,0.319363856,0.32,0.234689282,0.235294118
99,0.299963469,0.300578035,0.447159779,0.447916667,0.280111552,0.280701754,0.304396045,0.305084746
100,0.299963469,0.300578035,0.538462379,0.539215686,0.270011315,0.270588235,0.294775759,0.295454545
101,0.290094931,0.290697674,0.463157789,0.463917526,0.309719135,0.310344828,0.332618613,0.333333333
102,0.290094931,0.290697674,0.439035701,0.439790576,0.328899513,0.329545455,0.285046067,0.285714286
103,0.299963469,0.300578035,0.455200045,0.455958549,0.328899513,0.329545455,0.304396045,0.305084746
104,0.290094931,0.290697674,0.538462379,0.539215686,0.299963469,0.300578035,0.304396045,0.305084746
105,0.299963469,0.300578035,0.552649625,0.553398058,0.280111552,0.280701754,0.323315698,0.324022346
106,0.299963469,0.300578035,0.559640869,0.560386473,0.290094931,0.290697674,0.275205092,0.275862069
107,0.299963469,0.300578035,0.54559046,0.546341463,0.299963469,0.300578035,0.334500562,0.335195531
108,0.299963469,0.300578035,0.538462379,0.539215686,0.249451964,0.25,0.343741636,0.344444444
109,0.299963469,0.300578035,0.54559046,0.546341463,0.280111552,0.280701754,0.306150344,0.306818182
110,0.299963469,0.300578035,0.559640869,0.560386473,0.299963469,0.300578035,0.285046067,0.285714286
111,0.290094931,0.290697674,0.447159779,0.447916667,0.270011315,0.270588235,0.294775759,0.295454545
