,Knn_light_kappa,Knn_light_F1,Knn_xgboost_kappa,Knn_xgboost_F1,Knn_catboost_kappa,Knn_catboost_F1,light_xgboost_kappa,light_xgboost_F1,light_catboost_kappa,light_catboost_F1,xgboost_catboost_kappa,xgboost_catboost_F1,lg_xg_cb_kappa,lg_xg_cb_F1,Knn_xg_cb_kappa,Knn_xg_cb_F1,Knn_lg_cb_kappa,Knn_lg_cb_F1,Knn_lg_xg_kappa,Knn_lg_xg_F1,Knn_lg_xg_cb_Kappa,Knn_lg_xg_cb_F1
122,0.9309775927048684,0.9510425277854322,0.930466461396292,0.9506172839506172,0.9314081963591496,0.95127011202803,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9926527799479644,0.994805904866047,0.9914243654730368,0.9939355250558568,0.9870211798079794,0.9908122685925858,0.9897462884512074,0.9927480045610034,0.9828135145912696,0.9878283151825752,0.9916211454254324,0.9940763692700264
123,0.9322993287423432,0.9519606491058704,0.9306554824243352,0.95074867542041,0.9330086866366236,0.9524291964080128,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9925881334988168,0.994760103886636,0.9914243654730368,0.9939355250558568,0.98715100713919,0.9909045203162852,0.9898110483879532,0.9927939432637052,0.9832626663021976,0.9881448253764816,0.9918151567759216,0.9942138594013394
124,0.932677240281094,0.9522232951671494,0.9292596286696722,0.9497067380963377,0.93567160599556,0.9543553206159504,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9925881334988168,0.994760103886636,0.9914243654730368,0.9939355250558568,0.9872159156154352,0.9909506398537478,0.9894872142280872,0.9925642078372338,0.9832626663021976,0.9881448253764816,0.9916211454254324,0.9940763692700264
125,0.9328662415320816,0.952354672553348,0.9308631299942972,0.9508695852747152,0.9354858848201144,0.9542279411764706,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.98715100713919,0.9909045203162852,0.990005307516912,0.9929317342332072,0.9833277338774082,0.9881911387770048,0.9918793883635398,0.9942591580098414
126,0.9314749245318484,0.95131845841785,0.9335310545270814,0.9528019523875304,0.93567160599556,0.9543553206159504,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9927174229581034,0.994851701672058,0.9914243654730368,0.9939355250558568,0.98715100713919,0.9909045203162852,0.9897462884512074,0.9927480045610034,0.9833277338774082,0.9881911387770048,0.9918151567759216,0.9942138594013394
127,0.933075329110412,0.9524774359918954,0.9333454309018756,0.9526747076696436,0.9365358288400284,0.9549797868430724,0.9903326051946902,0.9931656642974304,0.9927835980576248,0.9948993533108662,0.9926527799479644,0.994805904866047,0.9914243654730368,0.9939355250558568,0.98715100713919,0.9909045203162852,0.9891632938572272,0.9923343675853258,0.9831199142443084,0.98803685199615,0.9918151567759216,0.9942138594013394
128,0.9357381060042638,0.9544033829748114,0.9335310545270814,0.9528019523875304,0.9367250334146568,0.955111417413278,0.990268414749324,0.9931204155086792,0.9927835980576248,0.9948993533108662,0.9926527799479644,0.994805904866047,0.9914243654730368,0.9939355250558568,0.98715100713919,0.9909045203162852,0.98935765642699,0.99247228431954,0.9842265409418032,0.9888247687093524,0.9918151567759216,0.9942138594013394
129,0.9355523809050864,0.9542759983456642,0.9343969005000582,0.9534284399447768,0.9372565665834,0.9554953382629864,0.990268414749324,0.9931204155086792,0.9927835980576248,0.9948993533108662,0.9926527799479644,0.994805904866047,0.9914243654730368,0.9939355250558568,0.9869562609524608,0.990766136405193,0.9892280848299312,0.992380344025186,0.9842265409418032,0.9888247687093524,0.9916211454254324,0.9940763692700264
130,0.9357381060042638,0.9544033829748114,0.9345861257572275,0.9535600865282828,0.9335097001730062,0.9527758580972128,0.990268414749324,0.9931204155086792,0.9927835980576248,0.9948993533108662,0.992523483610386,0.9947142987332545,0.9914243654730368,0.9939355250558568,0.9870860952034636,0.9908583965627572,0.9892280848299312,0.992380344025186,0.9842265409418032,0.9888247687093524,0.9917504897661357,0.9941680335338071
131,0.936602282645931,0.9550277918140476,0.935118656987724,0.9539452495974236,0.9352413606437748,0.9540288067737334,0.990268414749324,0.9931204155086792,0.9927835980576248,0.9948993533108662,0.9925881334988168,0.994760103886636,0.9914243654730368,0.9939355250558568,0.987277430476521,0.9909926386539252,0.9892280848299312,0.992380344025186,0.9842265409418032,0.9888247687093524,0.9916853769780276,0.9941216678058784
