,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
38,0.817579771,0.0,0.0,0.953717304,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.835137143,0.835137143,0.888314915,0.0,0.967897781,0.967897781,0.967717214,0.889803292,0.889803292,0.835137143,0.993301863
39,0.817579771,0.0,0.0,0.957276745,0.824560269,0.0,0.0,0.993513755,0.824560269,0.0,0.0,0.993513755,0.824560269,0.0,0.0,0.993513755,0.835137143,0.835137143,0.890929146,0.0,0.965939752,0.965939752,0.96863133,0.889357007,0.889357007,0.835137143,0.992850303
40,0.820082305,0.0,0.0,0.95294889,0.824560269,0.0,0.0,0.993514999,0.824560269,0.0,0.0,0.993514999,0.824560269,0.0,0.0,0.993514999,0.836918492,0.836918492,0.891267569,0.0,0.964020126,0.964020126,0.966580813,0.890135577,0.890135577,0.836918492,0.99253112
41,0.820082305,0.0,0.0,0.951430805,0.83030888,0.0,0.0,0.993514999,0.83030888,0.0,0.0,0.993514999,0.83030888,0.0,0.0,0.993514999,0.835953166,0.835953166,0.891375777,0.0,0.977352308,0.977352308,0.978837517,0.889927553,0.889927553,0.835953166,0.992565174
42,0.820082305,0.0,0.0,0.957466177,0.83030888,0.0,0.0,0.993514999,0.83030888,0.0,0.0,0.993514999,0.83030888,0.0,0.0,0.993514999,0.836945605,0.836945605,0.888795419,0.0,0.97719744,0.97719744,0.979081121,0.889941934,0.889941934,0.836945605,0.992248557
43,0.820082305,0.0,0.0,0.953126468,0.833199756,0.0,0.0,0.993514999,0.833199756,0.0,0.0,0.993514999,0.833199756,0.0,0.0,0.993514999,0.836945605,0.836945605,0.889745417,0.0,0.981953188,0.981953188,0.981809943,0.889200093,0.889200093,0.836945605,0.990414929
44,0.820082305,0.0,0.0,0.954124421,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.836945605,0.836945605,0.889978389,0.0,0.98096377,0.98096377,0.981414325,0.888459488,0.888459488,0.836945605,0.992755242
45,0.820121148,0.0,0.0,0.953083026,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.836945605,0.836945605,0.891272046,0.0,0.977971591,0.977971591,0.978872786,0.887699468,0.887699468,0.836945605,0.993046252
46,0.820121148,0.0,0.0,0.95692878,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.83939471,0.0,0.0,0.993514999,0.836983284,0.836983284,0.877171135,0.0,0.979571153,0.979571153,0.980020297,0.886550018,0.886550018,0.836983284,0.993010118
47,0.820121148,0.0,0.0,0.953586762,0.839928744,0.0,0.0,0.993547151,0.839928744,0.0,0.0,0.993547151,0.839928744,0.0,0.0,0.993547151,0.835987779,0.835987779,0.879777669,0.0,0.97935925,0.97935925,0.97978838,0.881832001,0.881832001,0.835987779,0.993423573
48,0.820256165,0.0,0.0,0.956448123,0.839928744,0.0,0.0,0.993611448,0.839928744,0.0,0.0,0.993611448,0.839928744,0.0,0.0,0.993611448,0.835987779,0.835987779,0.882024854,0.0,0.980952683,0.980952683,0.982968988,0.881704095,0.881704095,0.835987779,0.993487838
49,0.82245079,0.0,0.0,0.968597259,0.83989184,0.0,0.0,0.993611856,0.83989184,0.0,0.0,0.993611856,0.83989184,0.0,0.0,0.993611856,0.835987779,0.835987779,0.885659482,0.0,0.982189911,0.982189911,0.983248037,0.88528397,0.88528397,0.835987779,0.993550859
50,0.82245079,0.0,0.0,0.967812051,0.843188659,0.0,0.0,0.993804688,0.843188659,0.0,0.0,0.993804688,0.843188659,0.0,0.0,0.993804688,0.83617692,0.83617692,0.888694355,0.0,0.982036308,0.982036308,0.982251151,0.884257265,0.884257265,0.83617692,0.99275894
51,0.82245079,0.0,0.0,0.966864585,0.843413261,0.0,0.0,0.993804688,0.843413261,0.0,0.0,0.993804688,0.843413261,0.0,0.0,0.993804688,0.83617692,0.83617692,0.888694355,0.0,0.979396778,0.979396778,0.979395474,0.88127869,0.88127869,0.83617692,0.993143039
52,0.82245079,0.0,0.0,0.966532541,0.843413261,0.0,0.0,0.993868557,0.843413261,0.0,0.0,0.993868557,0.843413261,0.0,0.0,0.993868557,0.83617692,0.83617692,0.889018692,0.0,0.979903155,0.979903155,0.979903155,0.879159254,0.879159254,0.83617692,0.992447659
53,0.82245079,0.0,0.0,0.967073717,0.843413261,0.0,0.0,0.993868557,0.843413261,0.0,0.0,0.993868557,0.843413261,0.0,0.0,0.993868557,0.83617692,0.83617692,0.890546782,0.0,0.979330864,0.979330864,0.979268872,0.877000427,0.877000427,0.83617692,0.99301725
54,0.828244648,0.0,0.0,0.967306099,0.845204857,0.0,0.0,0.993935138,0.845204857,0.0,0.0,0.993935138,0.845204857,0.0,0.0,0.993935138,0.843447756,0.843447756,0.893095624,0.0,0.979302487,0.979302487,0.979302487,0.878500347,0.878500347,0.843447756,0.991585926
55,0.832212185,0.0,0.0,0.968713124,0.845204857,0.0,0.0,0.993836819,0.845204857,0.0,0.0,0.993836819,0.845204857,0.0,0.0,0.993836819,0.843447756,0.843447756,0.892058747,0.0,0.981042354,0.981042354,0.980859425,0.875692064,0.875692064,0.843447756,0.990483465
56,0.832212185,0.0,0.0,0.96691528,0.846732365,0.0,0.0,0.993868557,0.846732365,0.0,0.0,0.993868557,0.846732365,0.0,0.0,0.993868557,0.844281362,0.844281362,0.893065333,0.0,0.979411114,0.979411114,0.979411114,0.873159832,0.873159832,0.844281362,0.991967359
57,0.832212185,0.0,0.0,0.968350598,0.846732365,0.0,0.0,0.993932814,0.846732365,0.0,0.0,0.993932814,0.846732365,0.0,0.0,0.993932814,0.844281362,0.844281362,0.897494747,0.0,0.979593128,0.979593128,0.979532441,0.870379465,0.870379465,0.844281362,0.992315296
58,0.832212185,0.0,0.0,0.965391969,0.846732365,0.0,0.0,0.993900687,0.846732365,0.0,0.0,0.993900687,0.846732365,0.0,0.0,0.993900687,0.844394942,0.844394942,0.899589638,0.0,0.978953698,0.978953698,0.978953698,0.868814955,0.868814955,0.844394942,0.991430665
59,0.832212185,0.0,0.0,0.967165513,0.846732365,0.0,0.0,0.993932814,0.846732365,0.0,0.0,0.993932814,0.846732365,0.0,0.0,0.993932814,0.846095973,0.846095973,0.899887297,0.0,0.979089014,0.979089014,0.978997568,0.868247436,0.868247436,0.846095973,0.989100644
