,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
18,0,0,0.0,0.338327945,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.725900432,0.698058386,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
19,0,0,0.0,0.709339299,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
20,0,0,0.0,0.709339299,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
21,0,0,0.0,0.709339299,0.65708336,0,0,0.731327189,0.65708336,0,0,0.731327189,0.65708336,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
22,0,0,0.0,0.709339299,0.65708336,0,0,0.731327189,0.65708336,0,0,0.731327189,0.65708336,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
23,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
24,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
25,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
26,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
27,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
28,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
29,0,0,0.0,0.703723275,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.749432826
30,0,0,0.0,0.709339299,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.66003163,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.731327189,0.731327189,0.749432826,0.749432826,0.714268598,0.749432826
