,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,Knn_gb_cb,Knn_lg_cb,lg_gb_cb,Knn_lg_gb,Knn_lg_gb_cb
77,0.766724456,0.0,0.0,0.952389346,0.788037936,0.0,0.0,0.992331141,0.788037936,0.0,0.0,0.992331141,0.788037936,0.0,0.0,0.992331141,0.7998512366216595,0.7998512366216595,0.8644450773065666,0.0,0.9623130121325256,0.9709175540011477,0.8236250019327656,0.8236250019327656,0.9708732131919732,0.9844824151983006,0.7430441641958611
78,0.766724456,0.0,0.0,0.949233439,0.788289719,0.0,0.0,0.992557665,0.788289719,0.0,0.0,0.992557665,0.788289719,0.0,0.0,0.992557665,0.7998512366216595,0.7998512366216595,0.8660749742633983,0.0,0.9627646587201192,0.9700421437404394,0.8236250019327656,0.8236250019327656,0.9700421437404394,0.9784670587146772,0.763029131697644
79,0.766724456,0.0,0.0,0.951740281,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.7998512366216595,0.7998512366216595,0.8680495710737813,0.0,0.970570134977172,0.9708396762236454,0.8236250019327656,0.8236250019327656,0.970887233407109,0.9786952338820516,0.746414759193476
80,0.766724456,0.0,0.0,0.946724022,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.7998512366216595,0.7998512366216595,0.8704580309363685,0.0,0.9698516541124292,0.9709304767542368,0.8236250019327656,0.8236250019327656,0.9709304767542368,0.9786952338820516,0.7530849942107154
81,0.757873192,0.0,0.0,0.949814885,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.788289719,0.0,0.0,0.992648149,0.7998512366216595,0.7998512366216595,0.8702534356456829,0.0,0.9682918337337116,0.9712279856649464,0.8193733590773559,0.8418701314070627,0.971006240547566,0.9786952338820516,0.7557765859865927
82,0.757873192,0.0,0.0,0.949997106,0.784316096,0.0,0.0,0.992693932,0.784316096,0.0,0.0,0.992693932,0.784316096,0.0,0.0,0.992693932,0.7998512366216595,0.7998512366216595,0.8670928917185525,0.0,0.9717439807199542,0.9722847157579,0.8193733590773559,0.8941548176173361,0.9722847157579,0.986083029870682,0.7673963883627257
83,0.757873192,0.0,0.0,0.950175604,0.784316096,0.0,0.0,0.992693932,0.784316096,0.0,0.0,0.992693932,0.784316096,0.0,0.0,0.992693932,0.7998512366216595,0.7998512366216595,0.8703468302599987,0.0,0.9693916231925658,0.9706093801279332,0.8193733590773559,0.8968507814087797,0.9705650540581758,0.986083029870682,0.7692947101127859
84,0.757873192,0.0,0.0,0.949233439,0.784316096,0.0,0.0,0.992738896,0.784316096,0.0,0.0,0.992738896,0.784316096,0.0,0.0,0.992738896,0.7998512366216595,0.7998512366216595,0.8673989785773198,0.0,0.9706850074894144,0.9711446279975025,0.8193733590773559,0.8979191872700968,0.9711446279975025,0.9871278052180162,0.7683808335487667
85,0.768127169,0.0,0.0,0.94922966,0.784316096,0.0,0.0,0.992694204,0.784316096,0.0,0.0,0.992694204,0.784316096,0.0,0.0,0.992694204,0.7998512366216595,0.7998512366216595,0.8694639359497471,0.0,0.9802377299019704,0.9706656593960218,0.8193733590773559,0.8976959046082034,0.9706213495157928,0.987075170936036,0.7698715711825799
86,0.768127169,0.0,0.0,0.949588497,0.784316096,0.0,0.0,0.992739167,0.784316096,0.0,0.0,0.992739167,0.784316096,0.0,0.0,0.992739167,0.7998512366216595,0.7998512366216595,0.8693056272605001,0.0,0.980603741208082,0.9704775002369448,0.8193733590773559,0.8992040493478497,0.9704775002369448,0.9891138738925304,0.7683808335487667
87,0.769225303,0.0,0.0,0.948088256,0.784316096,0.0,0.0,0.992739167,0.784316096,0.0,0.0,0.992739167,0.784316096,0.0,0.0,0.992739167,0.7998512366216595,0.7998512366216595,0.8684072739874849,0.0,0.9804196657086278,0.9727732771246272,0.8193733590773559,0.8980330432261127,0.9727763059276076,0.983858430878119,0.7702079576683909
88,0.769225303,0.0,0.0,0.956612721,0.784769667,0.0,0.0,0.992739167,0.784769667,0.0,0.0,0.992739167,0.784769667,0.0,0.0,0.992739167,0.7998512366216595,0.7998512366216595,0.8718088618826766,0.0,0.9806015744161042,0.9769589668122832,0.8193733590773559,0.8967192284354297,0.9769589668122832,0.978506384908696,0.7683808335487667
89,0.76888932,0.0,0.0,0.957570608,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.800982946962222,0.800982946962222,0.8724928727730137,0.0,0.9811604641563034,0.9700520694337014,0.8152096997294884,0.8971178222789562,0.9700975229925478,0.9746813089656238,0.7713164598413671
