,datetime,latitude,longitude,pressure,salinity,temperature,label,score
3285,0.4200808917820631,1.1618035882690072,0.9821496107598616,0.3474296859959218,-0.655547758971951,-1.2426132476019351,0,0.42669662054434704
14880,-0.2186026809851011,-0.5466996001938385,0.2060855831691091,1.136832616569749,-0.7050572389248189,-1.4080358825226222,0,0.42668416965550016
1979,-0.0217817824285711,-0.3855690991257001,0.2620459637193033,1.197270223315992,-0.7050572389248189,-1.430785557266135,0,0.42668416965550016
18969,-0.0217817824285711,-0.3855690991257001,0.2620459637193033,1.1425725010093368,-0.7133088189170026,-1.4272106083778686,0,0.42668416965550016
158,-0.2229897113863673,-0.5535750146438417,0.1997299306809019,1.0882124189638336,-0.7050572389248189,-1.4051109243413131,0,0.42668416965550016
848,-0.2186026809851011,-0.5466996001938385,0.2060855831691091,1.123664646384814,-0.7050572389248189,-1.407060896462186,0,0.42668416965550016
19841,-0.0217817824285711,-0.3855690991257001,0.2620459637193033,1.191530338876405,-0.7133088189170026,-1.431110552619614,0,0.42668416965550016
7040,-1.159991351439633,-0.6652936279684989,-1.3886843791385957,-0.5013979305406917,0.3016355201167907,0.5139866379507425,0,0.42667828297809224
12301,-1.1560357326152226,-0.6527404012428226,-1.3951241011041602,-0.6975669222701161,1.0277745594254426,0.945255472017052,0,0.4266713185360501
6066,0.3763321121572478,1.0742019341401896,0.9527514486333392,-0.6793343481678976,0.7554724196847274,0.669009421560109,0,0.42666553848317496
5365,0.3763321121572478,1.0742019341401896,0.9527514486333392,-0.5743282269495655,0.7554724196847274,0.6326099419704886,0,0.42666553848317496
276,-0.4549190055918116,-0.9450377896338228,-0.2411453542653229,0.3801807913276844,-0.6968056589326937,-1.4382604503961467,0,0.42666448880569924
19293,-0.4505805849456841,-0.943557474815063,-0.2325889496809639,0.4892385956798429,-0.6885540789405686,-1.4395604318100614,0,0.42666448880569924
5607,-0.4549190055918116,-0.9450377896338228,-0.2411453542653229,0.4007768472579683,-0.6885540789405686,-1.4431353806983278,0,0.42666448880569924
8705,-0.4549190055918116,-0.9450377896338228,-0.2411453542653229,0.3275089105879424,-0.7050572389248189,-1.416160766359591,0,0.42666448880569924
18876,-0.4549190055918116,-0.9450377896338228,-0.2411453542653229,0.4146200979652083,-0.6885540789405686,-1.4450853528192005,0,0.42666448880569924
