,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1
35,0.012723104,0.018429199,-0.001571811,0,0.11625418,0.120952963
36,0.011450509,0.017170682,-0.001550383,0,0.11625418,0.120952963
37,0.009442011,0.015180479,-0.001550383,0,0.11625418,0.120952963
38,0.011069164,0.016793133,-0.001550383,0,0.11625418,0.120952963
39,0.011356387,0.017077799,-0.001550383,0,0.11625418,0.120952963
40,0.01127827,0.017000378,-0.001550383,0,0.11625418,0.120952963
41,0.013037034,0.018743492,-0.001550383,0,0.11625418,0.120952963
42,0.01132701,0.017048683,-0.001550383,0,0.11625418,0.120952963
43,0.011965741,0.017681729,-0.001550383,0,0.11625418,0.120952963
44,0.011802512,0.017519953,-0.001593027,0,0.11625418,0.120952963
45,0.011330269,0.017051914,-0.001655438,0,0.11625418,0.120952963
46,0.011295568,0.017017522,-0.001550383,0,0.11625418,0.120952963
47,0.0102517,0.015982952,-0.001571811,0,0.11625418,0.120952963
48,0.010867151,0.01659292,-0.001614034,0,0.11625418,0.120952963
49,0.011225511,0.016948089,-0.001550383,0,0.11625418,0.120952963
50,0.011142194,0.016865513,-0.001593027,0,0.11625418,0.120952963
51,0.012550971,0.018261752,-0.001550383,0,0.11625418,0.120952963
52,0.011313985,0.017035775,-0.001550383,0,0.11625418,0.120952963
53,0.011180547,0.016903525,-0.001550383,0,0.11625418,0.120952963
54,0.011791049,0.017508592,-0.001593027,0,0.11625418,0.120952963
55,0.013403731,0.019106928,-0.001571811,0,0.11625418,0.120952963
56,0.013052429,0.018758312,-0.001571811,0,0.11625418,0.120952963
57,0.015969666,0.021649568,-0.001614034,0,0.11625418,0.120952963
58,0.015969666,0.021649568,-0.001593027,0,0.11625418,0.120952963
59,0.015969666,0.021649568,-0.001634837,0,0.11625418,0.120952963
60,0.015969666,0.021649568,-0.001634837,0,0.11625418,0.120952963
61,0.015969666,0.021649568,-0.001571811,0,0.11625418,0.120952963
62,0.015983792,0.021663568,-0.001634837,0,0.11625418,0.120952963
63,0.016149356,0.021827659,-0.001634837,0,0.11625418,0.120952963
64,0.016114463,0.021792561,-0.001634837,0,0.11625418,0.120952963
65,0.016123474,0.021801492,-0.001571811,0,0.11625418,0.120952963
